"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1982-01-01","1982","01","01","","3.0","","-4.7","","-0.9","","18.9","","0.0","","1.2","","2.2","","3.2","","23","","25","","48",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1982-01-02","1982","01","02","","-4.6","","-19.6","","-12.1","","30.1","","0.0","","0.0","","0.0","","0.0","","14","","27","","50",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1982-01-03","1982","01","03","","-7.9","","-17.8","","-12.9","","30.9","","0.0","","0.0","","0.0","T","0.0","T","13","","","","<31",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1982-01-04","1982","01","04","","4.2","","-8.1","","-2.0","","20.0","","0.0","","19.4","","1.6","","21.0","","13","","24","","52",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1982-01-05","1982","01","05","","1.8","","-14.7","","-6.5","","24.5","","0.0","","0.0","T","0.2","","0.2","","9","","25","","69",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1982-01-06","1982","01","06","","-8.8","","-14.9","","-11.9","","29.9","","0.0","","0.0","","1.7","","1.7","","9","","","","<31",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1982-01-07","1982","01","07","","-5.8","","-15.6","","-10.7","","28.7","","0.0","","0.0","","0.0","","0.0","","11","","26","","35",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1982-01-08","1982","01","08","","-14.2","","-19.1","","-16.7","","34.7","","0.0","","0.0","","0.0","T","0.0","T","10","","26","","31",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1982-01-09","1982","01","09","","-15.5","","-22.3","","-18.9","","36.9","","0.0","","0.0","","0.4","","0.2","","10","","6","","33",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1982-01-10","1982","01","10","","-15.3","","-26.2","","-20.8","","38.8","","0.0","","0.0","","0.2","","0.2","","10","","20","","50",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1982-01-11","1982","01","11","","-14.5","","-24.2","","-19.4","","37.4","","0.0","","0.0","","0.4","","0.4","","10","","18","","56",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1982-01-12","1982","01","12","","-21.0","","-27.3","","-24.2","","42.2","","0.0","","0.0","","0.0","T","0.0","T","10","","24","","39",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1982-01-13","1982","01","13","","-14.5","","-23.6","","-19.1","","37.1","","0.0","","0.0","","1.4","","1.2","","10","","","","<31",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1982-01-14","1982","01","14","","-11.5","","-17.9","","-14.7","","32.7","","0.0","","0.0","","1.8","","1.1","","12","","3","","37",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1982-01-15","1982","01","15","","-11.0","","-16.5","","-13.8","","31.8","","0.0","","0.0","","2.0","","1.2","","14","","26","","44",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1982-01-16","1982","01","16","","-4.6","","-19.7","","-12.2","","30.2","","0.0","","0.0","","2.9","","2.1","","12","","24","","70",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1982-01-17","1982","01","17","","-19.7","","-27.9","","-23.8","","41.8","","0.0","","0.0","","0.0","","0.0","","13","","27","","50",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1982-01-18","1982","01","18","","-19.2","","-28.3","","-23.8","","41.8","","0.0","","0.0","","0.0","T","0.0","T","12","","","","<31",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1982-01-19","1982","01","19","","-15.2","","-27.2","","-21.2","","39.2","","0.0","","0.0","","0.0","T","0.0","T","11","","","","<31",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1982-01-20","1982","01","20","","-9.1","","-24.7","","-16.9","","34.9","","0.0","","0.0","","1.2","","0.7","","10","","28","","46",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1982-01-21","1982","01","21","","-16.9","","-24.8","","-20.9","","38.9","","0.0","","0.0","","0.0","","0.0","","11","","","","<31",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1982-01-22","1982","01","22","","-16.7","","-27.8","","-22.3","","40.3","","0.0","","0.0","","0.0","","0.0","","10","","","","<31",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1982-01-23","1982","01","23","","-2.1","","-21.6","","-11.9","","29.9","","0.0","","0.2","","14.1","","13.0","","10","","14","","48",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1982-01-24","1982","01","24","","-5.7","","-18.1","","-11.9","","29.9","","0.0","","0.0","","0.0","T","0.0","T","15","","27","","48",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1982-01-25","1982","01","25","","-17.7","","-24.5","","-21.1","","39.1","","0.0","","0.0","","0.0","","0.0","","15","","27","","37",""
