"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1960-01-01","1960","01","01","","-7.2","","-14.4","","-10.8","","28.8","","0.0","","0.0","","0.0","","0.0","","20","","23","","31",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1960-01-02","1960","01","02","","1.7","","-15.0","","-6.7","","24.7","","0.0","","8.4","","2.0","","10.4","","18","","14","","32",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1960-01-03","1960","01","03","","2.8","","-6.1","","-1.7","","19.7","","0.0","","1.8","","0.0","T","1.8","","13","","25","","64",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1960-01-04","1960","01","04","","-1.7","","-7.2","","-4.5","","22.5","","0.0","","0.0","","1.8","","1.8","","10","","23","","63",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1960-01-05","1960","01","05","","-5.0","","-12.2","","-8.6","","26.6","","0.0","","0.0","","2.3","","2.3","","10","","25","","72",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1960-01-06","1960","01","06","","-3.9","","-14.4","","-9.2","","27.2","","0.0","","0.0","","0.5","","0.5","","13","","23","","82",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1960-01-07","1960","01","07","","-16.7","","-20.6","","-18.7","","36.7","","0.0","","0.0","","11.2","","11.2","","13","","34","","45",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1960-01-08","1960","01","08","","-7.8","","-20.6","","-14.2","","32.2","","0.0","","0.0","","1.5","","1.5","","15","","29","","55",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1960-01-09","1960","01","09","","-21.7","","-25.6","","-23.7","","41.7","","0.0","","0.0","","0.0","","0.0","","18","","27","","56",""
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","1960-01-10","1960","01","10","","-18.3","","-27.2","","-22.8","","40.8","","0.0","","0.0","","0.0","T","0.0","T","18","","2","","35",""
