"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1988-01-01","1988","01","01","","-0.9","","-10.6","","-5.8","","23.8","","0.0","","0.0","","6.2","","4.6","","39","","28","","46",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1988-01-02","1988","01","02","","-7.2","","-16.0","","-11.6","","29.6","","0.0","","0.0","","0.0","T","0.0","T","40","","25","","44",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1988-01-03","1988","01","03","","-4.8","","-11.2","","-8.0","","26.0","","0.0","","0.0","","0.0","T","0.0","T","34","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1988-01-04","1988","01","04","","-3.4","","-9.0","","-6.2","","24.2","","0.0","","0.0","","10.2","","8.8","","34","","24","","63",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1988-01-05","1988","01","05","","-6.1","","-23.0","","-14.6","","32.6","","0.0","","0.0","","0.8","","0.6","","39","","26","","69",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1988-01-06","1988","01","06","","-19.0","","-23.6","","-21.3","","39.3","","0.0","","0.0","","0.0","","0.0","","38","","25","","54",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1988-01-07","1988","01","07","","-18.5","","-25.0","","-21.8","","39.8","","0.0","","0.0","","0.0","","0.0","","38","","24","","43",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1988-01-08","1988","01","08","","-12.2","","-28.0","","-20.1","","38.1","","0.0","","0.0","","1.2","","0.8","","38","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1988-01-09","1988","01","09","","-8.7","","-13.4","","-11.1","","29.1","","0.0","","0.0","","1.2","","1.0","","40","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1988-01-10","1988","01","10","","-11.6","","-22.0","","-16.8","","34.8","","0.0","","0.0","","0.0","T","0.0","T","40","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1988-01-11","1988","01","11","","-6.0","","-22.0","","-14.0","","32.0","","0.0","","0.0","","0.0","T","0.0","T","40","","22","","33",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1988-01-12","1988","01","12","","-2.7","","-9.7","","-6.2","","24.2","","0.0","","0.0","","0.0","T","0.0","T","40","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1988-01-13","1988","01","13","","2.7","","-27.5","","-12.4","","30.4","","0.0","","0.0","T","2.0","","2.0","","40","","23","","78",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1988-01-14","1988","01","14","","-24.4","","-31.2","","-27.8","","45.8","","0.0","","0.0","","0.0","T","0.0","T","39","","24","","43",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1988-01-15","1988","01","15","","-14.2","","-28.2","","-21.2","","39.2","","0.0","","0.0","","1.2","","0.6","","39","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1988-01-16","1988","01","16","","-4.4","","-14.4","","-9.4","","27.4","","0.0","","0.0","","2.4","","1.8","","40","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1988-01-17","1988","01","17","","2.5","","-12.3","","-4.9","","22.9","","0.0","","0.0","T","0.4","","0.4","","41","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1988-01-18","1988","01","18","","1.2","","0.0","","0.6","","17.4","","0.0","","3.2","","8.2","","14.4","","39","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1988-01-19","1988","01","19","","0.2","","-9.1","","-4.5","","22.5","","0.0","","0.0","","2.4","","1.8","","45","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1988-01-20","1988","01","20","","-1.8","","-9.6","","-5.7","","23.7","","0.0","","0.2","","7.0","","8.2","","45","","7","","48",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1988-01-21","1988","01","21","","2.8","","-12.5","","-4.9","","22.9","","0.0","","0.0","T","7.4","","9.8","","53","","24","","50",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1988-01-22","1988","01","22","","-11.2","","-17.4","","-14.3","","32.3","","0.0","","0.0","","0.0","","0.0","","53","","","","<31",""
