"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1973-01-01","1973","01","01","","2.2","","-5.0","","-1.4","","19.4","","0.0","","5.1","","0.0","T","5.1","","102","","25","","50",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1973-01-02","1973","01","02","","-1.1","","-12.2","","-6.7","","24.7","","0.0","","0.0","","0.0","T","0.0","T","97","","27","","50",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1973-01-03","1973","01","03","","-10.0","","-16.7","","-13.4","","31.4","","0.0","","0.0","","0.0","","0.0","","97","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1973-01-04","1973","01","04","","-1.1","","-16.7","","-8.9","","26.9","","0.0","","0.0","","19.1","","20.8","","97","","27","","51",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1973-01-05","1973","01","05","","-1.1","","-16.7","","-8.9","","26.9","","0.0","","0.0","","2.3","","0.8","","112","","27","","45",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1973-01-06","1973","01","06","","-16.7","","-21.7","","-19.2","","37.2","","0.0","","0.0","","0.0","T","0.0","T","114","","27","","43",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1973-01-07","1973","01","07","","-17.2","","-26.1","","-21.7","","39.7","","0.0","","0.0","","0.0","T","0.0","T","114","","25","","43",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1973-01-08","1973","01","08","","-21.7","","-29.4","","-25.6","","43.6","","0.0","","0.0","","0.0","T","0.0","T","114","","25","","39",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1973-01-09","1973","01","09","","-20.6","","-29.4","","-25.0","","43.0","","0.0","","0.0","","1.3","","1.0","","104","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1973-01-10","1973","01","10","","-16.1","","-27.2","","-21.7","","39.7","","0.0","","0.0","","0.3","","0.0","T","102","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1973-01-11","1973","01","11","","-7.2","","-20.0","","-13.6","","31.6","","0.0","","0.0","","3.6","","2.0","","102","","25","","48",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1973-01-12","1973","01","12","","-19.4","","-24.4","","-21.9","","39.9","","0.0","","0.0","","0.0","","0.0","","102","","25","","40",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1973-01-13","1973","01","13","","-12.8","","-26.7","","-19.8","","37.8","","0.0","","0.0","","0.0","T","0.0","T","102","","23","","31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1973-01-14","1973","01","14","","-5.6","","-13.3","","-9.5","","27.5","","0.0","","0.0","","3.3","","2.3","","102","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1973-01-15","1973","01","15","","-1.7","","-6.7","","-4.2","","22.2","","0.0","","0.0","","0.8","","0.3","","104","","27","","31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1973-01-16","1973","01","16","","1.1","","-7.8","","-3.4","","21.4","","0.0","","0.0","T","2.3","","2.0","","99","","25","","43",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1973-01-17","1973","01","17","","1.1","","-7.8","","-3.4","","21.4","","0.0","","0.3","","0.5","","0.8","","97","","7","","40",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1973-01-18","1973","01","18","","-1.1","","-8.3","","-4.7","","22.7","","0.0","","4.3","","0.0","T","4.3","","97","","7","","32",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1973-01-19","1973","01","19","","4.4","","-2.8","","0.8","","17.2","","0.0","","0.8","","0.0","","0.8","","91","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1973-01-20","1973","01","20","","3.9","","-11.7","","-3.9","","21.9","","0.0","","8.4","","0.5","","9.1","","84","","34","","51",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1973-01-21","1973","01","21","","-8.9","","-15.6","","-12.3","","30.3","","0.0","","0.0","","0.0","","0.0","","84","","25","","35",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1973-01-22","1973","01","22","","0.0","","-20.0","","-10.0","","28.0","","0.0","","15.2","","0.0","","15.2","","81","","","","<31",""
