"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-01","1959","01","01","","-5.6","","-19.4","","-12.5","","30.5","","0.0","","0.0","","3.0","","3.0","","74","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-02","1959","01","02","","0.0","","-8.9","","-4.5","","22.5","","0.0","","0.0","T","7.1","","7.1","","76","","7","","48",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-03","1959","01","03","","0.0","","-4.4","","-2.2","","20.2","","0.0","","0.0","","0.0","T","0.0","T","84","","29","","35",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-04","1959","01","04","","-6.7","","-12.2","","-9.5","","27.5","","0.0","","0.0","","1.5","","1.5","","79","","34","S","40",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-05","1959","01","05","","-18.3","","-22.8","","-20.6","","38.6","","0.0","","0.0","","0.0","","0.0","","81","","27","S","72",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-06","1959","01","06","","-18.9","","-23.9","","-21.4","","39.4","","0.0","","0.0","","0.0","","0.0","","81","","29","","71",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-07","1959","01","07","","-15.0","","-21.7","","-18.4","","36.4","","0.0","","0.0","","0.0","","0.0","","81","","25","","58",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-08","1959","01","08","","-10.6","","-18.9","","-14.8","","32.8","","0.0","","0.0","","0.0","","0.0","","81","","27","","56",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-09","1959","01","09","","-10.0","","-17.2","","-13.6","","31.6","","0.0","","0.0","","0.0","","0.0","","81","","29","","48",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-10","1959","01","10","","-11.1","","-13.9","","-12.5","","30.5","","0.0","","0.0","","1.0","","1.0","","81","","27","","40",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-11","1959","01","11","","-0.6","","-13.9","","-7.3","","25.3","","0.0","","0.0","","0.0","","0.0","","81","","34","","53",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-12","1959","01","12","","-6.1","","-10.0","","-8.1","","26.1","","0.0","","0.0","","1.3","","1.3","","81","","25","","48",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-13","1959","01","13","","-3.9","","-11.7","","-7.8","","25.8","","0.0","","0.0","","0.0","","0.0","","81","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-14","1959","01","14","","-5.6","","-16.1","","-10.9","","28.9","","0.0","","0.0","","0.8","","0.8","","76","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-15","1959","01","15","","-5.0","","-10.6","","-7.8","","25.8","","0.0","","0.0","","6.9","","6.9","","74","","7","","32",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-16","1959","01","16","","1.7","","-6.1","","-2.2","","20.2","","0.0","","9.1","","7.6","","16.8","","79","","7","","42",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-17","1959","01","17","","-9.4","","-15.0","","-12.2","","30.2","","0.0","","0.0","","2.0","","2.0","","76","","20","","89",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-18","1959","01","18","","-11.7","","-21.1","","-16.4","","34.4","","0.0","","0.0","","0.5","","0.5","","79","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-19","1959","01","19","","-7.2","","-19.4","","-13.3","","31.3","","0.0","","0.0","","9.1","","9.1","","79","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-20","1959","01","20","","-7.8","","-16.1","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","89","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-21","1959","01","21","","0.0","","-12.8","","-6.4","","24.4","","0.0","","5.3","","0.0","","5.3","","86","","7","","48",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-22","1959","01","22","","2.8","","-4.4","","-0.8","","18.8","","0.0","","3.0","","5.1","","8.1","","81","","25","","56",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-23","1959","01","23","","-11.1","","-13.9","","-12.5","","30.5","","0.0","","0.0","","1.0","","1.0","","79","","25","","56",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-24","1959","01","24","","-13.9","","-22.2","","-18.1","","36.1","","0.0","","0.0","","3.8","","3.8","","79","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-25","1959","01","25","","-10.0","","-20.6","","-15.3","","33.3","","0.0","","0.0","","2.0","","2.0","","81","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-26","1959","01","26","","-19.4","","-29.4","","-24.4","","42.4","","0.0","","0.0","","0.0","","0.0","","81","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-27","1959","01","27","","-12.8","","-25.0","","-18.9","","36.9","","0.0","","0.0","","0.0","T","0.0","T","81","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-28","1959","01","28","","-6.1","","-24.4","","-15.3","","33.3","","0.0","","0.0","","2.5","","2.5","","81","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-29","1959","01","29","","-3.9","","-12.2","","-8.1","","26.1","","0.0","","0.5","","1.3","","1.8","","81","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-30","1959","01","30","","-1.7","","-6.1","","-3.9","","21.9","","0.0","","0.0","T","8.1","","8.1","","79","","29","","64",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-01-31","1959","01","31","","-18.9","","-22.2","","-20.6","","38.6","","0.0","","0.0","","0.0","","0.0","","86","","25","","45",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-02-01","1959","02","01","","-22.2","","-28.9","","-25.6","","43.6","","0.0","","0.0","","0.0","","0.0","","86","","27","","39",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-02-02","1959","02","02","","-9.4","","-28.9","","-19.2","","37.2","","0.0","","0.0","","0.0","","0.0","","84","","25","","56",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-02-03","1959","02","03","","-2.8","","-12.8","","-7.8","","25.8","","0.0","","0.0","","4.8","","4.8","","84","","25","","68",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-02-04","1959","02","04","","1.1","","-6.7","","-2.8","","20.8","","0.0","","0.0","","5.1","","5.1","","89","","27","","56",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-02-05","1959","02","05","","-7.2","","-19.4","","-13.3","","31.3","","0.0","","0.0","","2.0","","2.0","","91","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-02-06","1959","02","06","","-7.8","","-15.0","","-11.4","","29.4","","0.0","","0.0","","0.8","","0.8","","91","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-02-07","1959","02","07","","-14.4","","-26.7","","-20.6","","38.6","","0.0","","0.0","","1.5","","1.5","","91","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-02-08","1959","02","08","","-18.9","","-24.4","","-21.7","","39.7","","0.0","","0.0","","0.0","","0.0","","89","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-02-09","1959","02","09","","-12.2","","-33.3","","-22.8","","40.8","","0.0","","0.0","","4.8","","4.8","","89","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-02-10","1959","02","10","","-8.9","","-18.3","","-13.6","","31.6","","0.0","","0.0","","0.3","","0.3","","94","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-02-11","1959","02","11","","-12.2","","-20.0","","-16.1","","34.1","","0.0","","0.0","","0.0","","0.0","","91","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-02-12","1959","02","12","","-7.8","","-22.8","","-15.3","","33.3","","0.0","","0.0","","0.8","","0.8","","89","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-02-13","1959","02","13","","0.0","","-15.0","","-7.5","","25.5","","0.0","","0.0","","1.3","","1.3","","89","","29","","56",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-02-14","1959","02","14","","-6.1","","-21.7","","-13.9","","31.9","","0.0","","0.0","","4.6","","4.6","","81","","7","","40",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-02-15","1959","02","15","","-5.0","","-15.0","","-10.0","","28.0","","0.0","","0.0","","0.0","T","0.0","T","81","","7","","40",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-02-16","1959","02","16","","-1.7","","-23.3","","-12.5","","30.5","","0.0","","0.0","","7.6","","7.6","","76","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-02-17","1959","02","17","","-6.1","","-9.4","","-7.8","","25.8","","0.0","","0.0","","1.0","","1.0","","84","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-02-18","1959","02","18","","-5.6","","-12.8","","-9.2","","27.2","","0.0","","0.0","","5.6","","5.6","","79","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-02-19","1959","02","19","","-12.2","","-15.6","","-13.9","","31.9","","0.0","","0.0","","3.0","","3.0","","84","","34","","45",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-02-20","1959","02","20","","-17.8","","-25.0","","-21.4","","39.4","","0.0","","0.0","","0.8","","0.8","","86","","25","","48",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-02-21","1959","02","21","","-10.6","","-23.9","","-17.3","","35.3","","0.0","","0.0","","0.8","","0.8","","86","","34","","40",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-02-22","1959","02","22","","-15.6","","-22.8","","-19.2","","37.2","","0.0","","0.0","","0.0","","0.0","","86","","25","","35",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-02-23","1959","02","23","","-7.8","","-27.2","","-17.5","","35.5","","0.0","","0.0","","0.0","","0.0","","86","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1959-02-24","1959","02","24","","-6.7","","-18.3","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","84","","","","<31",""
