"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1953-01-01","1953","01","01","","-7.2","","-22.2","","-14.7","","32.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1953-01-02","1953","01","02","","-1.7","","-12.8","","-7.3","","25.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1953-01-03","1953","01","03","","0.0","","-4.4","","-2.2","","20.2","","0.0","","0.0","","14.0","","14.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1953-01-04","1953","01","04","","-5.0","","-15.0","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1953-01-05","1953","01","05","","-15.0","","-20.6","","-17.8","","35.8","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1953-01-06","1953","01","06","","-10.0","","-22.2","","-16.1","","34.1","","0.0","","0.0","","0.0","T","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1953-01-07","1953","01","07","","-11.7","","-19.4","","-15.6","","33.6","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1953-01-08","1953","01","08","","-12.2","","-21.1","","-16.7","","34.7","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1953-01-09","1953","01","09","","-8.9","","-21.1","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1953-01-10","1953","01","10","","-3.3","","-12.2","","-7.8","","25.8","","0.0","","1.5","","0.0","","1.5","","","","","","",""
