"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1986-01-01","1986","01","01","","-0.1","","-20.6","","-10.4","","28.4","","0.0","","0.0","","0.0","T","0.0","T","53","","27","","39",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1986-01-02","1986","01","02","","-8.1","","-19.2","","-13.7","","31.7","","0.0","","0.0","","5.2","","2.6","","48","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1986-01-03","1986","01","03","","-12.6","","-17.5","","-15.1","","33.1","","0.0","","0.0","","6.4","","3.8","","48","","7","","76",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1986-01-04","1986","01","04","","-13.6","","-21.0","","-17.3","","35.3","","0.0","","0.0","","0.0","T","0.0","T","50","","23","","44",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1986-01-05","1986","01","05","","-10.0","","-19.0","","-14.5","","32.5","","0.0","","0.0","","11.4","","9.4","","50","","9","","69",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1986-01-06","1986","01","06","","-10.3","","-20.8","","-15.6","","33.6","","0.0","","0.0","","1.4","","0.8","","58","","28","","50",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1986-01-07","1986","01","07","","-18.1","","-22.3","","-20.2","","38.2","","0.0","","0.0","","0.2","","0.2","","58","","25","","48",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1986-01-08","1986","01","08","","-17.3","","-21.9","","-19.6","","37.6","","0.0","","0.0","","1.4","","0.8","","56","","24","","50",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1986-01-09","1986","01","09","","-1.0","","-17.8","","-9.4","","27.4","","0.0","","0.0","","14.8","","10.2","","64","","26","","54",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1986-01-10","1986","01","10","","-0.7","","-11.7","","-6.2","","24.2","","0.0","","0.0","","3.8","","2.6","","65","","33","","33",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1986-01-11","1986","01","11","","-9.7","","-16.4","","-13.1","","31.1","","0.0","","0.0","","4.2","","1.4","","62","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1986-01-12","1986","01","12","","3.7","","-9.9","","-3.1","","21.1","","0.0","","0.0","","0.0","T","0.0","T","65","","26","","61",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1986-01-13","1986","01","13","","1.4","","-21.0","","-9.8","","27.8","","0.0","","0.0","","4.4","","3.4","","62","","36","","43",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1986-01-14","1986","01","14","","-18.6","","-27.4","","-23.0","","41.0","","0.0","","0.0","","0.0","","0.0","","64","","34","","44",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1986-01-15","1986","01","15","","-18.1","","-28.0","","-23.1","","41.1","","0.0","","0.0","","0.0","T","0.0","T","60","","26","","52",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1986-01-16","1986","01","16","","-13.1","","-24.3","","-18.7","","36.7","","0.0","","0.0","","0.0","T","0.0","T","54","","26","","33",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1986-01-17","1986","01","17","","1.8","","-18.9","","-8.6","","26.6","","0.0","","0.2","","0.8","","1.0","","54","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1986-01-18","1986","01","18","","4.1","","-2.3","","0.9","","17.1","","0.0","","0.0","T","0.0","","0.0","T","51","","24","","57",""
