"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1987-01-01","1987","01","01","","-7.4","","-15.7","","-11.6","","29.6","","0.0","","0.0","","0.0","","0.0","","35","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1987-01-02","1987","01","02","","-0.9","","-8.6","","-4.8","","22.8","","0.0","","0.0","","0.2","","0.2","","35","","7","","78",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1987-01-03","1987","01","03","","-4.6","","-11.7","","-8.2","","26.2","","0.0","","0.0","","1.4","","1.2","","36","","7","","69",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1987-01-04","1987","01","04","","-6.6","","-14.7","","-10.7","","28.7","","0.0","","0.0","","0.0","","0.0","","36","","26","","39",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1987-01-05","1987","01","05","","-3.1","","-14.2","","-8.7","","26.7","","0.0","","0.0","","0.0","","0.0","","36","","26","","33",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1987-01-06","1987","01","06","","-2.7","","-5.7","","-4.2","","22.2","","0.0","","0.0","","0.0","T","0.0","T","36","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1987-01-07","1987","01","07","","-0.8","","-4.5","","-2.7","","20.7","","0.0","","0.0","","4.4","","3.9","","38","","31","","35",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1987-01-08","1987","01","08","","-4.1","","-12.0","","-8.1","","26.1","","0.0","","0.0","","0.0","T","0.0","T","40","","25","","41",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1987-01-09","1987","01","09","","-5.9","","-15.8","","-10.9","","28.9","","0.0","","0.0","","0.0","T","0.0","T","40","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1987-01-10","1987","01","10","","-5.8","","-11.8","","-8.8","","26.8","","0.0","","0.0","","4.2","","3.5","","40","","8","","56",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1987-01-11","1987","01","11","","-3.3","","-6.5","","-4.9","","22.9","","0.0","","0.0","","5.2","","4.0","","43","","8","","57",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1987-01-12","1987","01","12","","-1.4","","-8.8","","-5.1","","23.1","","0.0","","0.0","","0.0","T","0.0","T","47","","25","","35",""
